,Name,Rating,Reviews,Company type,Headquater & Branches,Age,Employees
2280,HLL Lifecare,3.7,403,Healthcare,Trivandrum/Thiruvananthapuram +88 more,57 years old,1k-5k Employees
2281,UnitedLex,3.2,402,Legal,New York +3 more,New York +3 more,1k-5k Employees
2282,Orient Technologies,3.8,402,IT Services & Consulting,Chiyoda-ku +38 more,31 years old,1k-5k Employees
2283,Updater Services,3.8,402,Facility Management Services,Chennai +52 more,Chennai +52 more,50k-1 Lakh Employees
2284,Asb International,4.0,402,Industrial Machinery,Thane +10 more,Thane +10 more,1k-5k Employees
2285,NBTC GROUP,3.7,402,Oil & Gas,Al Ahmadi +24 more,Al Ahmadi +24 more,501-1k Employees
2286,Central Public Works Department,4.2,402,Government,Delhi/NCR +95 more,Delhi/NCR +95 more,10k-50k Employees
2287,Offshore Infrastructures,4.2,401,Engineering & Construction,Mumbai +35 more,Mumbai +35 more,501-1k Employees
2288,Cairn Energy,4.1,400,Oil & Gas,Edinburgh +21 more,Edinburgh +21 more,1k-5k Employees
2289,TO THE NEW,4.1,400,IT Services & Consulting,Singapore +10 more,Singapore +10 more,1k-5k Employees
2290,Adidas,4.0,400,Fashion & Textile,Herzogenaurach +47 more,74 years old,1k-5k Employees
2291,Ind-Swift Laboratories,3.8,399,Pharma,Chandigarh +24 more,28 years old,1k-5k Employees
2292,Patel Engineering,4.1,399,Engineering & Construction,Mumbai +46 more,74 years old,1k-5k Employees
2293,Siemens Energy,4.2,399,Power,Munich +29 more,Munich +29 more,1k-5k Employees
2294,Keventer,3.9,399,FMCG,Kolkata +45 more,Kolkata +45 more,501-1k Employees
2295,nThrive Global Solutions,4.0,399,IT Services & Consulting,Alpharetta +8 more,Alpharetta +8 more,501-1k Employees
2296,Livpure,4.0,398,Consumer Electronics & Appliances,Gurgaon +70 more,Gurgaon +70 more,1k-5k Employees
2297,Jai Balaji Group,3.6,398,Iron & Steel,Kolkata +21 more,24 years old,10k-50k Employees
2298,Doosan Power Systems,4.0,398,Power,Crawley +24 more,Crawley +24 more,501-1k Employees
2299,JK Tech,3.7,398,IT Services & Consulting,Noida +17 more,29 years old,501-1k Employees
2300,Progressive Infovision,4.3,441,Recruitment,New Delhi +68 more,New Delhi +68 more,1k-5k Employees
2301,Orient Electric,3.9,441,Consumer Electronics & Appliances,Bhubaneswar +42 more,69 years old,501-1k Employees
2302,Vijay Sales,4.2,441,Retail,Mumbai +36 more,Mumbai +36 more,1k-5k Employees
2303,MAS Financial Services,3.7,441,Financial Services,Ahmedabad +85 more,28 years old,1k-5k Employees
2304,Jaro Education,2.7,440,EdTech,Mumbai +15 more,Mumbai +15 more,501-1k Employees
2305,Quantiphi Analytics Solutions,3.3,440,IT Services & Consulting,Mumbai +8 more,10 years old,1k-5k Employees
2306,uFaber,3.0,439,Education & Training,Mumbai +14 more,10 years old,1k-5k Employees
2307,Hapag-Lloyd,4.1,439,Ports & Shipping,Chennai +8 more,Chennai +8 more,1k-5k Employees
2308,Dodsal Engineering & Construction,4.4,439,Engineering & Construction,Bhubaneswar +31 more,40 years old,501-1k Employees
2309,BT E Serv,4.2,439,Telecom,Kolkata +5 more,16 years old,201-500 Employees
2310,Steel Authority Of India,4.0,439,Iron & Steel,Rourkela +29 more,69 years old,10k-50k Employees
2311,HIL,4.0,438,Building Material,Bhubaneswar +54 more,77 years old,1k-5k Employees
2312,Accel Frontline,3.7,438,IT Services & Consulting,Bhubaneswar +58 more,Bhubaneswar +58 more,51-200 Employees
2313,Dhanuka Agritech,3.7,438,Agro Chemicals,Bhubaneswar +74 more,41 years old,1k-5k Employees
2314,Ongc Petro Additions,3.9,438,Petrochemicals,Dahej +22 more,17 years old,1k-5k Employees
2315,Aequs,3.8,437,Defence & Aerospace,Belgaum +11 more,Belgaum +11 more,1k-5k Employees
2316,National Informatics Centre,4.1,437,IT Services & Consulting,Bhubaneswar +57 more,47 years old,5k-10k Employees
2317,Hitachi,4.0,436,Electronics Manufacturing,Bhubaneswar +68 more,113 years old,201-500 Employees
2318,Orient Cement,4.4,436,Building Material,Bhubaneswar +53 more,44 years old,1k-5k Employees
2319,Renault,4.2,436,Automobile,Bhubaneswar +132 more,125 years old,10k-50k Employees
2320,Rane Engine Valve Limited,3.9,455,Auto Components,Chennai +14 more,64 years old,1k-5k Employees
2321,TIAA Global Business Services,4.2,454,IT Services & Consulting,Manhattan +8 more,Manhattan +8 more,1k-5k Employees
2322,Welspun World,3.9,454,Building Material,Mumbai +42 more,38 years old,1k-5k Employees
2323,K Raheja Corp,4.2,454,Real Estate,Mumbai +15 more,Mumbai +15 more,1k-5k Employees
2324,Parag Milk Foods,3.9,454,FMCG,Mumbai +54 more,31 years old,1k-5k Employees
2325,Magna International,4.0,454,IT Services & Consulting,Aurora +16 more,66 years old,5k-10k Employees
2326,Border Security Force,4.6,453,Defence & Aerospace,Delhi/NCR +65 more,Delhi/NCR +65 more,1 Lakh+ Employees
2327,Aisin Automotive Haryana,4.0,453,Auto Components,Gurgaon/Gurugram +16 more,Gurgaon/Gurugram +16 more,201-500 Employees
2328,Sunbeam Auto,3.7,452,Auto Components,Gurgaon/Gurugram +19 more,Gurgaon/Gurugram +19 more,1k-5k Employees
2329,KMV Projects,4.1,452,Engineering & Construction,Hyderabad/Secunderabad +45 more,Hyderabad/Secunderabad +45 more,1k-5k Employees
2330,Tavant Technologies,3.9,451,IT Services & Consulting,Santa Clara +8 more,Santa Clara +8 more,1k-5k Employees
2331,Courtyard by Marriott,4.2,451,Hospitality,Bethesda +35 more,96 years old,1k-5k Employees
2332,Turbo Energy,4.2,450,Auto Components,Chennai +16 more,Chennai +16 more,1k-5k Employees
2333,AVTEC,3.8,450,Auto Components,Delhi/NCR +14 more,18 years old,1k-5k Employees
2334,Tata Power Delhi Distribution,3.9,450,Power,New Delhi +32 more,New Delhi +32 more,1k-5k Employees
2335,BEML,4.0,449,Railways,Bangalore/Bengaluru +28 more,59 years old,5k-10k Employees
2336,Saudi Aramco,4.5,449,Oil & Gas,Dhahran +27 more,90 years old,1k-5k Employees
2337,Wapcos,3.7,448,Engineering & Construction,Gurgaon/Gurugram +107 more,54 years old,1k-5k Employees
2338,ACL Digital,3.7,448,IT Services & Consulting,Santa Clara +17 more,Santa Clara +17 more,1k-5k Employees
2339,Geojit Financial Services,3.8,448,1k-5k Employees,Kochi +119 more,Kochi +119 more,Public
2340,Simplilearn,3.3,476,EdTech,San Francisco +4 more,San Francisco +4 more,1k-5k Employees
2341,Future Lifestyle Fashion,4.2,476,Retail,Mumbai +56 more,11 years old,5k-10k Employees
2342,Integreon,3.5,476,Legal,Fargo +8 more,Fargo +8 more,1k-5k Employees
2343,Times Internet,3.9,475,Internet,Gurgaon +23 more,24 years old,10k-50k Employees
2344,H&M,4.1,475,Retail,Stockholm +32 more,76 years old,1k-5k Employees
2345,Fleetguard Filters,4.1,475,Auto Components,Pune +60 more,Pune +60 more,1k-5k Employees
2346,Amway India Enterprises,4.2,475,FMCG,Ada Township +74 more,Ada Township +74 more,501-1k Employees
2347,Rentokil Pest Control,3.8,475,Facility Management Services,Mumbai +90 more,Mumbai +90 more,501-1k Employees
2348,Shaktiman Tirth Agro Technology,4.1,475,Industrial Machinery,Rajkot +31 more,Rajkot +31 more,1k-5k Employees
2349,Thriveni Earthmovers,3.9,474,Metals & Mining,Salem +31 more,Salem +31 more,5k-10k Employees
2350,ZUVENTUS HEALTHCARE,4.0,473,Pharma,Mumbai +60 more,Mumbai +60 more,1k-5k Employees
2351,Tata Hitachi Construction Machinery,4.0,473,Industrial Machinery,Bangalore/Bengaluru +53 more,24 years old,1k-5k Employees
2352,Mott MacDonald,4.2,473,Engineering & Construction,Croydon +36 more,Croydon +36 more,501-1k Employees
2353,Linde India,4.1,472,Oil & Gas,Pullach +41 more,144 years old,201-500 Employees
2354,CMS Computers Limited (INDIA),3.7,472,IT Services & Consulting,Mumbai +57 more,Mumbai +57 more,1k-5k Employees
2355,Bioclinica,3.1,472,Pharma,Princeton +6 more,Princeton +6 more,1k-5k Employees
2356,Bpo Convergence,3.5,472,BPO,Bhubaneswar +25 more,9 years old,1k-5k Employees
2357,Central Industrial Security Force,4.5,471,Government,Delhi/NCR +65 more,Delhi/NCR +65 more,1 Lakh+ Employees
2358,Quatrro,3.5,471,IT Services & Consulting,Gurgaon +5 more,Gurgaon +5 more,501-1k Employees
2359,India Cements,3.8,471,Building Material,Chennai +70 more,77 years old,1k-5k Employees
2360,Royal Caribbean International,4.6,489,Sports & Recreation,Miami +14 more,54 years old,501-1k Employees
2361,Muthoot Microfin,4.1,489,Financial Services,Ernakulam +151 more,Ernakulam +151 more,5k-10k Employees
2362,FIITJEE,3.7,489,Education & Training,Delhi +43 more,Delhi +43 more,1k-5k Employees
2363,Edubridge Learning,3.8,488,Education & Training,Mumbai +58 more,Mumbai +58 more,501-1k Employees
2364,Mastek,3.7,488,IT Services & Consulting,Mumbai +15 more,41 years old,1k-5k Employees
2365,Isuzu Motors,3.9,488,Automobile,Tokyo +22 more,11 years old,501-1k Employees
2366,Piramal Pharma,3.9,488,Pharma,Lexington +36 more,35 years old,1k-5k Employees
2367,United Spirits,4.1,487,Beverage,Bangalore/Bengaluru +90 more,26 years old,1k-5k Employees
2368,Wipro Infrastructure Engineering,3.8,487,Industrial Machinery,Bangalore/Bengaluru +30 more,Bangalore/Bengaluru +30 more,1k-5k Employees
2369,Ups Logistics,4.3,487,Logistics,Atlanta +32 more,116 years old,1k-5k Employees
2370,Ramco Systems,3.4,486,Software Product,Chennai +16 more,26 years old,1k-5k Employees
2371,Rico Auto Industries,3.9,486,Auto Components,Gurgaon/Gurugram +21 more,40 years old,1k-5k Employees
2372,Bses Rajdhani Power,3.8,486,Power,Delhi/NCR +9 more,Delhi/NCR +9 more,5k-10k Employees (Global)
2373,Progressive Infotech,3.4,486,IT Services & Consulting,Noida +46 more,25 years old,501-1k Employees
2374,Sl Lumax,3.2,486,Auto Components,Sriperumbudur +13 more,26 years old,1k-5k Employees
2375,Jabil Circuit India,3.9,486,Electronics Manufacturing,St Petersburg +9 more,57 years old,1k-5k Employees
2376,Government of India,4.1,485,Government,New Delhi +114 more,73 years old,1 Lakh+ Employees
2377,Union Bank of India,3.9,485,Banking,Mumbai +94 more,104 years old,50k-1 Lakh Employees
2378,Xceedance,3.7,485,Insurance,Boston +7 more,Boston +7 more,1k-5k Employees
2379,Astral Pipe,4.1,485,Building Material,Ahmedabad +70 more,Ahmedabad +70 more,1-10 Employees
2380,Primus Global Technologies,4.2,506,IT Services & Consulting,Irving +25 more,Irving +25 more,11-50 Employees
2381,Ingram Micro,4.0,505,IT Services & Consulting,Irvine +41 more,44 years old,1k-5k Employees
2382,Ebix Software India,3.3,505,IT Services & Consulting,Atlanta +29 more,47 years old,1k-5k Employees
2383,TCNS Clothing Company,4.1,505,Fashion & Textile,Delhi/NCR +83 more,22 years old,501-1k Employees
2384,Innodata Isogen,3.1,504,IT Services & Consulting,New Jersey +7 more,New Jersey +7 more,1k-5k Employees
2385,Globant,4.0,504,IT Services & Consulting,San Francisco +11 more,San Francisco +11 more,1k-5k Employees
2386,Finolex Cables,3.8,502,Electrical Equipment,Pune +58 more,67 years old,1k-5k Employees
2387,Rodic Consultants,4.4,502,Management Consulting,Delhi/NCR +86 more,Delhi/NCR +86 more,501-1k Employees
2388,Svatantra Microfin,4.3,502,NBFC,Mumbai +188 more,Mumbai +188 more,1k-5k Employees
2389,McDermott International,4.2,502,Oil & Gas,Houston +26 more,100 years old,1k-5k Employees
2390,Neeyamo Enterprise Solutions,3.7,501,Recruitment,Chennai +6 more,Chennai +6 more,1k-5k Employees
2391,Apollo Munich Health Insurance,3.9,501,Financial Services,Gurgaon +109 more,16 years old,1k-5k Employees
2392,Lea Associates South Asia,4.3,500,Power,Delhi/NCR +106 more,Delhi/NCR +106 more,201-500 Employees
2393,TÜV NORD,3.6,500,Other,Mumbai +45 more,Mumbai +45 more,201-500 Employees
2394,Ukb Electronics,4.4,498,Electronics Manufacturing,Noida +13 more,Noida +13 more,1k-5k Employees
2395,Sharda Motor Industries,3.9,497,Auto Components,Delhi/NCR +24 more,37 years old,1k-5k Employees
2396,IFFCO,4.0,497,Agro Chemicals,Delhi/NCR +67 more,Delhi/NCR +67 more,1k-5k Employees
2397,Jain Irrigation Systems,4.1,496,Accounting & Auditing,Jalgaon +74 more,60 years old,51-200 Employees
2398,GSK Pharmaceuticals,4.2,495,Pharma,Middlesex +77 more,193 years old,1k-5k Employees
2399,Adani Enterprises,3.9,495,Financial Services,Mumbai +45 more,35 years old,1k-5k Employees
2400,Kalpataru Group,3.8,554,Real Estate,Mumbai +51 more,54 years old,1k-5k Employees
2401,Zoho,4.3,553,Software Product,Chennai +18 more,Chennai +18 more,10k-50k Employees
2402,Hindustan Sanitaryware & Industries,4.1,553,Furniture & Furnishing,Gurgaon/Gurugram +54 more,63 years old,1k-5k Employees
2403,OLX,3.9,552,IT Services & Consulting,Gurgaon +42 more,Gurgaon +42 more,1k-5k Employees
2404,Grant Thornton,3.8,552,Accounting & Auditing,Chicago +38 more,Chicago +38 more,5k-10k Employees
2405,ICA Edu Skills,3.7,552,Education & Training,Kolkata +108 more,Kolkata +108 more,1k-5k Employees
2406,OCS Group,3.9,552,Facility Management Services,Mumbai +41 more,Mumbai +41 more,10k-50k Employees
2407,Reliance Power,4.2,552,Power,Navi Mumbai +29 more,28 years old,1k-5k Employees
2408,GirnarSoft,3.7,551,IT Services & Consulting,Jaipur +41 more,Jaipur +41 more,1k-5k Employees
2409,Defence Research & Development Organisation,4.5,550,Defence & Aerospace,Delhi/NCR +36 more,65 years old,10k-50k Employees
2410,Aditya Birla Finance,3.9,549,Financial Services,Mumbai +100 more,Mumbai +100 more,10k-50k Employees
2411,Schlumberger,4.2,549,Oil & Gas,Houston +27 more,97 years old,5k-10k Employees
2412,Temenos,3.2,549,IT Services & Consulting,Geneva +7 more,Geneva +7 more,1k-5k Employees
2413,Capri Global Capital,3.9,549,NBFC,Mumbai +143 more,26 years old,1k-5k Employees
2414,Sheenlac Paints,4.5,549,Chemicals,Chennai +69 more,61 years old,501-1k Employees
2415,ICCS,3.2,548,BPO,Delhi/NCR +18 more,Delhi/NCR +18 more,501-1k Employees
2416,Ageas Federal Life Insurance,3.7,548,Insurance,Mumbai +105 more,Mumbai +105 more,501-1k Employees
2417,NetAmbit,3.4,548,FinTech,Noida +71 more,Noida +71 more,501-1k Employees
2418,Cult.fit,3.7,548,Internet,Bangalore +33 more,7 years old,1k-5k Employees
2419,Ugam Solution,3.6,546,IT Services & Consulting,Mumbai +12 more,Mumbai +12 more,1k-5k Employees
2420,DAV Public School,4.0,563,Education & Training,Delhi/NCR +126 more,Delhi/NCR +126 more,1 Lakh+ Employees
2421,More Supermarket,3.8,563,Retail,Mumbai +96 more,Mumbai +96 more,10k-50k Employees
2422,Aspire Systems,3.9,562,IT Services & Consulting,Oak Brook +12 more,Oak Brook +12 more,1k-5k Employees
2423,Aparna Constructions and Estates,4.1,562,Real Estate,Hyderabad/Secunderabad +15 more,Hyderabad/Secunderabad +15 more,1k-5k Employees
2424,Medusind Solutions,3.9,561,IT Services & Consulting,Mumbai +7 more,Mumbai +7 more,1k-5k Employees
2425,Michelin,4.0,560,Auto Components,Clermont-Ferrand +37 more,Clermont-Ferrand +37 more,1k-5k Employees
2426,ValueMomentum,3.5,560,IT Services & Consulting,Piscataway +6 more,Piscataway +6 more,1k-5k Employees
2427,Bridge & Roof Co,3.6,560,Engineering & Construction,Kolkata +57 more,103 years old,1k-5k Employees
2428,Sanden Vikas,3.8,559,Auto Components,Faridabad +19 more,Faridabad +19 more,1k-5k Employees
2429,Navayuga Engineering Company,4.1,559,Engineering & Construction,Hyderabad/Secunderabad +55 more,Hyderabad/Secunderabad +55 more,501-1k Employees
2430,IDFC FIRST Bharat,4.2,559,NBFC,Tiruchirappalli +192 more,Tiruchirappalli +192 more,5k-10k Employees
2431,Allscripts,4.2,558,IT Services & Consulting,Chicago +5 more,Chicago +5 more,1k-5k Employees
2432,Pristyn Care,3.6,558,Healthcare,Delhi +23 more,5 years old,1k-5k Employees
2433,Carnival Cruise Lines,4.5,557,Sports & Recreation,Miami +20 more,51 years old,1k-5k Employees
2434,Genpact Headstrong Capital Markets,3.8,556,IT Services & Consulting,New Delhi +16 more,New Delhi +16 more,1k-5k Employees
2435,Musashi Auto Parts,3.9,555,Auto Components,Gurgaon/Gurugram +13 more,Gurgaon/Gurugram +13 more,1k-5k Employees
2436,SFO Technologies,3.6,555,Electronics Manufacturing,Kochi/Cochin +11 more,Kochi/Cochin +11 more,1k-5k Employees
2437,Webhelp,3.8,555,BPO,Paris +10 more,Paris +10 more,1k-5k Employees
2438,Pacific BPO,3.6,555,BPO,Noida +10 more,Noida +10 more,1k-5k Employees
2439,LEAD School,3.3,555,EdTech,Mumbai +62 more,10 years old,1k-5k Employees
2440,Atlas Copco,4.3,590,Industrial Machinery,Nacka Municipality +46 more,150 years old,1k-5k Employees
2441,Natco Pharma,3.9,588,Pharma,Hyderabad/Secunderabad +34 more,42 years old,1k-5k Employees
2442,Gharda Chemicals,4.1,587,Chemicals,Mumbai +42 more,Mumbai +42 more,1k-5k Employees
2443,Knorr-Bremse,4.1,587,Auto Components,Munich +19 more,10 years old,501-1k Employees
2444,Sri Chaitanya Schools,4.0,587,Education & Training,Hyderabad +86 more,37 years old,11-50 Employees
2445,Renew Solar Power,4.3,586,Power,Gurgaon +53 more,Gurgaon +53 more,1k-5k Employees
2446,Amara Raja Group,4.1,583,Electrical Equipment,Bangalore/Bengaluru +50 more,38 years old,10k-50k Employees
2447,Sandhar Technologies,3.7,582,Auto Components,Gurgaon/Gurugram +25 more,36 years old,1k-5k Employees
2448,Aristo Pharmaceuticals,4.1,582,Pharma,Mumbai +70 more,Mumbai +70 more,1k-5k Employees
2449,Rashmi Metaliks,3.5,582,Metals & Mining,Kolkata +20 more,Kolkata +20 more,10k-50k Employees
2450,DuPont,4.2,581,Chemicals,Wilmington +47 more,Wilmington +47 more,1k-5k Employees
2451,Softenger,4.1,581,IT Services & Consulting,Pune +23 more,Pune +23 more,501-1k Employees
2452,Star Cement,4.1,580,Building Material,Kolkata +48 more,22 years old,1k-5k Employees
2453,Orchids International School,2.9,580,Education & Training,Nasik/Nashik +24 more,Nasik/Nashik +24 more,1k-5k Employees
2454,Centre for Development of Advanced Computing,3.8,579,IT Services & Consulting,Pune +25 more,Pune +25 more,1k-5k Employees
2455,Suzuki Motorcycle,4.0,579,Automobile,Hamamatsu +88 more,Hamamatsu +88 more,1k-5k Employees
2456,DLF,4.0,577,Real Estate,Gurgaon/Gurugram +24 more,77 years old,501-1k Employees
2457,Indira IVF Hospital,4.0,577,Healthcare,Udaipur +77 more,Udaipur +77 more,1k-5k Employees
2458,Greenko Group,3.8,576,Power,Hyderabad +48 more,Hyderabad +48 more,1k-5k Employees
2459,Federal Bank,3.9,576,Banking,Aluva +105 more,92 years old,10k-50k Employees
2460,Alok Industries,3.8,605,Fashion & Textile,Mumbai +24 more,37 years old,10k-50k Employees
2461,Visionary RCM Infotech,3.4,605,IT Services & Consulting,Chennai +12 more,Chennai +12 more,1k-5k Employees
2462,SNC-Lavalin,4.3,604,Engineering & Construction,Montreal +48 more,112 years old,1k-5k Employees
2463,HT Media,3.5,603,Media & Entertainment,Delhi/NCR +35 more,99 years old,1k-5k Employees
2464,GVPR Engineers,4.1,603,Engineering & Construction,Hyderabad/Secunderabad +53 more,26 years old,501-1k Employees
2465,Allianz Technology,4.5,602,IT Services & Consulting,Munich +11 more,Munich +11 more,1k-5k Employees
2466,Shriram General Insurance,3.7,602,Insurance,Jaipur +143 more,Jaipur +143 more,10k-50k Employees
2467,Napino Auto & Electronics,4.1,601,Auto Components,Gurgaon/Gurugram +9 more,26 years old,5k-10k Employees
2468,Mswipe Technologies,3.1,601,FinTech,Mumbai +74 more,Mumbai +74 more,1k-5k Employees
2469,Fusion Microfinance,4.0,601,NBFC,Delhi +166 more,Delhi +166 more,5k-10k Employees
2470,Acme Cleantech Solutions,3.9,600,Industrial Machinery,Gurgaon/Gurugram +77 more,Gurgaon/Gurugram +77 more,1k-5k Employees
2471,Parekh Integrated Services,4.1,599,Logistics,Mumbai +67 more,Mumbai +67 more,1k-5k Employees
2472,Vertiv,3.9,598,IT Services & Consulting,Columbus +45 more,7 years old,51-200 Employees (Global)
2473,Acuity Knowledge Partners,3.6,598,Financial Services,London +11 more,London +11 more,1k-5k Employees
2474,Tata Steel BSL,4.0,598,Metals & Mining,Mumbai +29 more,36 years old,10k-50k Employees
2475,Samsung Engineering,4.1,597,Engineering & Construction,Suwon-Si +43 more,Suwon-Si +43 more,1k-5k Employees
2476,Micromax Informatics,3.8,597,Consumer Electronics & Appliances,Gurgaon/Gurugram +110 more,Gurgaon/Gurugram +110 more,1k-5k Employees
2477,Duck Creek Technologies,4.5,597,Software Product,Boston +4 more,Boston +4 more,501-1k Employees
2478,Air India Sats Airport Services,3.9,597,Aviation,Mumbai +25 more,Mumbai +25 more,1k-5k Employees
2479,Precision Techserve,3.9,597,IT Services & Consulting,Chennai +79 more,Chennai +79 more,1k-5k Employees
2480,Bank of India,3.9,614,Banking,Mumbai +142 more,117 years old,50k-1 Lakh Employees
2481,KEI Industries,4.2,612,Electrical Equipment,Delhi/NCR +67 more,55 years old,1k-5k Employees
2482,Greaves Cotton,4.1,612,Industrial Machinery,Mumbai +33 more,164 years old,1k-5k Employees
2483,GAMMON INDIA,3.9,612,Engineering & Construction,Mumbai +68 more,101 years old,11-50 Employees
2484,Birla Corporation,4.1,611,Building Material,Kolkata +99 more,104 years old,1k-5k Employees
2485,Happiest Minds Technologies,4.0,611,IT Services & Consulting,Bangalore +13 more,12 years old,1k-5k Employees
2486,Evision Technoserve,4.6,611,Recruitment,Delhi/NCR +60 more,Delhi/NCR +60 more,201-500 Employees
2487,KIMS Hospital,4.1,610,Healthcare,Hyderabad/Secunderabad +35 more,Hyderabad/Secunderabad +35 more,501-1k Employees
2488,Troikaa Pharmaceuticals,3.9,610,Pharma,Ahmedabad +63 more,Ahmedabad +63 more,1k-5k Employees
2489,Aviva Life Insurance India,4.0,610,Insurance,London +91 more,327 years old,1k-5k Employees
2490,Qualcomm,4.0,609,Semiconductors,San Diego +14 more,27 years old,10k-50k Employees
2491,Air India,4.0,609,Aviation,Delhi/NCR +45 more,93 years old,10k-50k Employees
2492,CALIBEHR,3.8,609,Recruitment,Mumbai +101 more,Mumbai +101 more,1k-5k Employees
2493,Snapdeal,4.0,608,Internet,Delhi +30 more,13 years old,1k-5k Employees
2494,Sandvik Asia,4.4,608,Industrial Machinery,Stockholm +31 more,Stockholm +31 more,10k-50k Employees (Global)
2495,Vedanta Aluminium,3.9,607,Metals & Mining,Jharsuguda +25 more,Jharsuguda +25 more,1k-5k Employees
2496,Fluor Daniel India,4.1,607,Engineering & Construction,Irving +17 more,111 years old,501-1k Employees
2497,Patra Corporation,3.8,606,IT Services & Consulting,El Dorado Hills +13 more,El Dorado Hills +13 more,1k-5k Employees
2498,Reliance Capital,3.8,605,Financial Services,Navi Mumbai +83 more,18 years old,1k-5k Employees
2499,Hikal,4.0,605,Pharma,Mumbai +13 more,Mumbai +13 more,1k-5k Employees
2500,CADD Centre Training Services,4.0,652,Education & Training,Chennai +120 more,Chennai +120 more,1k-5k Employees
2501,Mahindra First Choice Wheels,3.9,652,Automobile,Mumbai +100 more,Mumbai +100 more,201-500 Employees
2502,Bajaj Housing Finance,3.8,652,NBFC,Pune +107 more,Pune +107 more,1k-5k Employees
2503,Egis  India Consulting Engineers,4.2,651,Engineering & Construction,Gurgaon/Gurugram +90 more,Gurgaon/Gurugram +90 more,1k-5k Employees
2504,LOREAL,4.2,651,Beauty & Personal Care,Clichy +70 more,32 years old,1k-5k Employees
2505,GEP Worldwide,3.8,649,IT Services & Consulting,Clark +8 more,Clark +8 more,1k-5k Employees
2506,Thomas Cook,3.7,649,Travel & Tourism,Mumbai +74 more,142 years old,1k-5k Employees
2507,Teva Pharmaceuticals,4.2,649,Pharma,Dublin +31 more,44 years old,1k-5k Employees
2508,Dassault Systemes,4.1,648,Software Product,Velizy-villacoublay +9 more,42 years old,1k-5k Employees
2509,Genius Consultants,3.8,648,Recruitment,Kolkata +70 more,Kolkata +70 more,201-500 Employees
2510,MakeMyTrip,3.8,648,Travel & Tourism,Gurgaon +36 more,23 years old,1k-5k Employees
2511,MAHLE ANAND Filter Systems,4.2,647,Auto Components,Stuttgart +24 more,Stuttgart +24 more,501-1k Employees
2512,TEKsystems,3.7,645,IT Services & Consulting,Hanover +8 more,Hanover +8 more,1k-5k Employees
2513,Reliance AJIO,3.8,643,Internet,Bengaluru +169 more,Bengaluru +169 more,1k-5k Employees
2514,Exela Technologies,3.4,643,IT Services & Consulting,Irving +14 more,Irving +14 more,1k-5k Employees
2515,Diageo,4.1,642,Beverage,London +70 more,26 years old,1k-5k Employees
2516,Nippon Paint India,4.0,642,Chemicals,Osaka +91 more,142 years old,1k-5k Employees
2517,Syngenta,4.3,641,Agriculture,Basel +118 more,Basel +118 more,501-1k Employees
2518,C.R.I. Pumps,3.8,641,Industrial Machinery,Coimbatore +50 more,Coimbatore +50 more,1k-5k Employees
2519,Colliers International,4.0,641,Real Estate,Ontario +33 more,Ontario +33 more,1k-5k Employees
2520,Urban Company,3.6,688,Internet,Gurgaon +43 more,8 years old,1k-5k Employees
2521,Sonata Software,3.9,687,IT Services & Consulting,Bangalore/Bengaluru +11 more,37 years old,1k-5k Employees
2522,Hindustan Zinc,3.8,687,Metals & Mining,Udaipur +23 more,57 years old,1k-5k Employees
2523,Kirloskar Brothers,4.0,685,Industrial Machinery,Pune +48 more,135 years old,1k-5k Employees
2524,Provana,3.7,683,Software Product,Lisle +3 more,Lisle +3 more,501-1k Employees
2525,UBS,3.9,682,Financial Services,Zurich +25 more,8 years old,5k-10k Employees
2526,Toppr,3.4,682,EdTech,Mumbai +43 more,10 years old,1k-5k Employees
2527,Capacit'e Infraprojects,3.6,681,Engineering & Construction,Mumbai +29 more,11 years old,501-1k Employees
2528,Barclays Global Service Centre,4.2,681,IT Services & Consulting,Pune +11 more,16 years old,201-500 Employees
2529,FLSmidth,3.7,681,Industrial Machinery,Copenhagen +19 more,Copenhagen +19 more,1k-5k Employees
2530,Nilkamal,3.9,681,Furniture & Furnishing,Mumbai +86 more,42 years old,1k-5k Employees
2531,Next Education India,3.6,681,EdTech,Hyderabad/Secunderabad +74 more,Hyderabad/Secunderabad +74 more,1k-5k Employees
2532,Nirma,4.3,679,Chemicals,Ahmedabad +49 more,33 years old,10k-50k Employees
2533,VIP Industries,3.9,678,Retail,Mumbai +79 more,52 years old,1k-5k Employees
2534,Colgate Palmolive,4.2,677,FMCG,New York +89 more,86 years old,1k-5k Employees
2535,Fidelity Investment,4.4,677,Financial Services,Boston +11 more,Boston +11 more,5k-10k Employees
2536,Orion Edutech,3.2,677,EdTech,Kolkata +101 more,Kolkata +101 more,5k-10k Employees
2537,Intel,4.3,677,Semiconductors,Santa Clara +20 more,55 years old,10k-50k Employees
2538,Columbia Asia,4.4,675,Healthcare,Bangalore/Bengaluru +20 more,Bangalore/Bengaluru +20 more,1k-5k Employees
2539,AstraZeneca,4.2,675,IT Services & Consulting,Cambridge +34 more,24 years old,1k-5k Employees
2540,Tata Chemicals,4.1,705,Chemicals,Mumbai +75 more,85 years old,1k-5k Employees
2541,K12 Techno Services,3.1,705,EdTech,Bangalore/Bengaluru +25 more,Bangalore/Bengaluru +25 more,1k-5k Employees
2542,Feedback Infrastructure Services,3.6,704,Engineering & Construction,Gurgaon/Gurugram +110 more,Gurgaon/Gurugram +110 more,5k-10k Employees
