,Name,Rating,Reviews,Company type,Headquater & Branches,Age,Employees
221,Yahoo,4.5,76,Internet,Sunnyvale +3 more,Sunnyvale +3 more,501-1k Employees
222,Patni Computer Systems,4.6,76,Consumer Electronics & Appliances,Mumbai +13 more,Mumbai +13 more,51-200 Employees
223,BPR Infrastructure,3.7,76,Engineering & Construction,Hyderabad +7 more,17 years old,201-500 Employees
224,Indian Register of Shipping,3.6,76,Ports & Shipping,Mumbai +14 more,Mumbai +14 more,501-1k Employees
225,Rockwell Industries,4.0,76,Electronics Manufacturing,Hyderabad +7 more,Hyderabad +7 more,201-500 Employees
226,UCC,4.5,76,Engineering & Construction,Lusail +15 more,Lusail +15 more,5k-10k Employees (Global)
227,IndiaNIC Infotech,3.7,76,IT Services & Consulting,Ahmedabad +3 more,Ahmedabad +3 more,501-1k Employees
228,Srijan Realty,3.7,76,Real Estate,Kolkata +1 more,Kolkata +1 more,501-1k Employees
229,UpMan Placements,4.2,76,Recruitment,Ahmedabad +9 more,Ahmedabad +9 more,51-200 Employees
230,Universal Cables,4.0,76,Building Material,Satna +10 more,61 years old,1k-5k Employees
231,Velocity Software Solutions,4.3,76,IT Services & Consulting,Noida +5 more,Noida +5 more,11-50 Employees
232,Radiate E Services,2.7,76,BPO,Noida +2 more,Noida +2 more,11-50 Employees
233,ANSYS,3.3,76,IT Services & Consulting,Canonsburg +5 more,53 years old,501-1k Employees
234,Kingdom of Dreams,2.6,76,Media & Entertainment,Gurgaon +2 more,Gurgaon +2 more,501-1k Employees (Global)
235,Trustline Securities,4.5,76,Investment Banking / Venture Capital / Private Equity,Noida +18 more,Noida +18 more,501-1k Employees
236,Sarva Shiksha Abhiyan,3.9,76,Non-Profit,Chandauli +37 more,Chandauli +37 more,501-1k Employees (Global)
237,Lister Technologies,4.1,76,IT Services & Consulting,Chennai +1 more,Chennai +1 more,501-1k Employees
238,Kingfisher Airlines,4.6,76,Aviation,Mumbai +17 more,20 years old,1k-5k Employees
239,Grundfos Pumps,4.2,76,Industrial Machinery,Bjerringbro +12 more,Bjerringbro +12 more,201-500 Employees
240,Seagate,3.3,77,Hardware & Networking,Scotts Valley +5 more,16 years old,501-1k Employees
241,Zamil,3.7,77,Financial Services,Al Khobar +9 more,Al Khobar +9 more,201-500 Employees
242,Unimrkt Research,3.2,77,Analytics & KPO,New York +3 more,New York +3 more,201-500 Employees
243,Global Market Insights,2.8,77,Analytics & KPO,Selbyville +1 more,Selbyville +1 more,201-500 Employees
244,Rotary Engineering,4.4,77,Oil & Gas,Singapore +8 more,Singapore +8 more,5k-10k Employees (Global)
245,Ojas Innovative Technologies,3.7,77,IT Services & Consulting,Hyderabad/Secunderabad +1 more,Hyderabad/Secunderabad +1 more,201-500 Employees
246,Sree Metaliks,4.1,77,Industrial Machinery,Kolkata +9 more,28 years old,51-200 Employees
247,Unicom Infotel,3.9,77,Telecom,Mumbai +19 more,Mumbai +19 more,51-200 Employees
248,Vijay Raja Homes,4.3,77,Real Estate,Chennai +1 more,Chennai +1 more,501-1k Employees
249,Railrestro.com,4.8,77,Internet,Patna +1 more,8 years old,51-200 Employees
250,Idexcel Technologies,3.5,77,IT Services & Consulting,Herndon +5 more,Herndon +5 more,51-200 Employees
251,Optimize IT Systems,3.8,77,IT Services & Consulting,Bidhannagar +8 more,Bidhannagar +8 more,201-500 Employees
